,file_name,cnt_no_v_scaled,cnt_v_scaled,otro_scaled,status_scaled,cnt_no_v_g,cnt_v_g,otro_g,status_g,cnt_no_v_l,cnt_v_l,otro_l,status_l,cnt_no_v_e,cnt_v_e,otro_e,status_e
86,Num38Line9Vers12,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
87,Num808Line104Vers9,80,0,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
88,Num1300Line143Vers2,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
89,Num143Line14Vers24,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
90,Num304Line22Vers3,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
91,Num455Line61Vers4,55,25,0,[],71,9,0,[],0,80,0,[],0,80,0,[]
92,Num823Line104Vers24,80,0,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
93,Num150Line14Vers31,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
94,Num1141Line122Vers23,80,0,0,[],0,80,0,[],0,80,0,[],80,0,0,[]
95,Num1340Line147Vers1,0,80,0,[],0,80,0,[],0,80,0,[],0,80,0,[]
96,Num8Line7Vers8,80,0,0,[],0,80,0,[],0,80,0,[],80,0,0,[]
97,Num762Line101Vers38,39,41,0,[],77,3,0,[],0,80,0,[],0,80,0,[]
98,Num1326Line146Vers12,79,1,0,[],55,25,0,[],0,80,0,[],0,80,0,[]
99,Num1338Line146Vers24,79,1,0,[],62,18,0,[],0,80,0,[],0,80,0,[]
100,Num139Line14Vers20,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
101,Num1232Line139Vers17,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
102,Num1228Line139Vers13,80,0,0,[],0,80,0,[],0,80,0,[],1,79,0,[]
103,Num1342Line149Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
104,Num149Line14Vers30,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
105,Num278Line20Vers29,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
106,Num1311Line144Vers10,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
107,Num1154Line122Vers36,79,1,0,[],66,14,0,[],0,80,0,[],14,66,0,[]
108,Num758Line101Vers34,80,0,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
109,Num1308Line144Vers7,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
110,Num407Line42Vers10,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
111,Num519Line82Vers2,80,0,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
112,Num1298Line142Vers1,80,0,0,[],0,80,0,[],0,80,0,[],1,79,0,[]
113,Num1366Line151Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
114,Num1130Line122Vers12,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
115,Num264Line20Vers15,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
116,Num775Line101Vers51,39,41,0,[],77,3,0,[],0,80,0,[],0,80,0,[]
117,Num295Line20Vers46,80,0,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
118,Num1236Line139Vers21,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
119,Num192Line15Vers36,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
120,Num368Line41Vers12,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
