,file_name,cnt_v,cnt_no_v,otro,status
175,Num435Line43Vers21,115,0,0,[]
176,Num341Line35Vers1,115,0,0,[]
177,Num269Line20Vers20,0,115,0,[]
178,Num288Line20Vers39,0,115,0,[]
179,Num529Line82Vers12,0,115,0,[]
180,Num295Line20Vers46,0,115,0,[]
181,Num222Line16Vers28,0,115,0,[]
182,Num177Line15Vers21,0,115,0,[]
183,Num21Line8Vers8,0,115,0,[]
184,Num1237Line139Vers22,0,115,0,[]
185,Num266Line20Vers17,0,115,0,[]
186,Num161Line15Vers5,0,115,0,[]
187,Num1219Line139Vers4,1,114,0,[]
188,Num819Line104Vers20,0,115,0,[]
189,Num158Line15Vers2,0,115,0,[]
190,Num1350Line149Vers9,0,115,0,[]
191,Num1381Line152Vers5,0,115,0,[]
192,Num154Line14Vers35,0,115,0,[]
193,Num784Line101Vers60,0,115,0,[]
194,Num1232Line139Vers17,0,115,0,[]
195,Num352Line38Vers1,0,115,0,[]
196,Num110Line13Vers28,0,115,0,[]
197,Num857Line112Vers31,0,115,0,[]
198,Num1307Line144Vers6,0,115,0,[]
199,Num681Line88Vers11,0,115,0,[]
200,Num1239Line139Vers24,1,114,0,[]
201,Num798Line103Vers8,0,115,0,[]
202,Num281Line20Vers32,0,115,0,[]
203,Num609Line85Vers31,0,115,0,[]
204,Num91Line13Vers9,0,115,0,[]
205,Num423Line43Vers9,0,115,0,[]
206,Num265Line20Vers16,0,115,0,[]
207,Num1300Line143Vers2,0,115,0,[]
208,Num192Line15Vers36,0,115,0,[]
209,Num195Line16Vers1,0,115,0,[]
210,Num101Line13Vers19,0,115,0,[]
211,Num273Line20Vers24,0,115,0,[]
212,Num758Line101Vers34,0,114,0,[]
213,Num509Line72Vers11,0,115,0,[]
214,Num1297Line141Vers9,0,115,0,[]
215,Num1302Line144Vers1,0,115,0,[]
216,Num503Line72Vers5,0,115,0,[]
217,Num515Line74Vers4,115,0,0,[]
218,Num398Line42Vers1,0,115,0,[]
219,Num48Line11Vers2,0,115,0,[]
220,Num284Line20Vers35,0,115,0,[]
221,Num183Line15Vers27,0,115,0,[]
222,Num1251Line140Vers9,1,114,0,[]
223,Num856Line112Vers30,0,115,0,[]
224,Num1111Line119Vers1,0,115,0,[]
225,Num58Line11Vers12,0,115,0,[]
226,Num1366Line151Vers1,0,115,0,[]
227,Num12Line7Vers12,0,115,0,[]
228,Num83Line13Vers1,0,115,0,[]
229,Num1308Line144Vers7,0,115,0,[]
230,Num1323Line146Vers9,0,115,0,[]
231,Num678Line88Vers8,0,115,0,[]
232,Num45Line10Vers6,0,115,0,[]
233,Num1212Line138Vers10,1,114,0,[]
234,Num151Line14Vers32,0,115,0,[]
235,Num356Line40Vers1,0,115,0,[]
236,Num594Line85Vers16,0,115,0,[]
237,Num10Line7Vers10,0,115,0,[]
238,Num1176Line135Vers9,0,115,0,[]
239,Num184Line15Vers28,0,115,0,[]
240,Num1310Line144Vers9,0,115,0,[]
241,Num146Line14Vers27,0,115,0,[]
242,Num379Line41Vers23,0,115,0,[]
243,Num105Line13Vers23,0,115,0,[]
244,Num338Line34Vers10,0,115,0,[]
245,Num36Line9Vers10,0,115,0,[]
246,Num114Line13Vers32,0,115,0,[]
247,Num178Line15Vers22,0,115,0,[]
