,file_name,cnt_no_v,cnt_v,otro,status
127,Num21Line8Vers8,0,80,0,[]
128,Num339Line34Vers11,0,80,0,[]
129,Num1340Line147Vers1,0,80,0,[]
130,Num104Line13Vers22,0,80,0,[]
131,Num267Line20Vers18,0,80,0,[]
132,Num45Line10Vers6,4,76,0,[]
133,Num10Line7Vers10,0,80,0,[]
134,Num70Line11Vers24,0,80,0,[]
135,Num378Line41Vers22,0,80,0,[]
136,Num342Line36Vers1,0,4,0,[]
137,Num464Line62Vers1,0,80,0,[]
138,Num112Line13Vers30,0,80,0,[]
139,Num475Line63Vers11,0,80,0,[]
140,Num103Line13Vers21,0,80,0,[]
141,Num1154Line122Vers36,24,42,0,[]
142,Num510Line72Vers12,5,75,0,[]
143,Num61Line11Vers15,0,80,0,[]
144,Num353Line38Vers2,0,80,0,[]
145,Num354Line38Vers3,0,80,0,[]
146,Num1142Line122Vers24,3,77,0,[]
147,Num118Line13Vers36,0,80,0,[]
148,Num1238Line139Vers23,0,25,0,[]
149,Num1141Line122Vers23,0,4,0,[]
150,Num1378Line152Vers2,0,80,0,[]
151,Num286Line20Vers37,0,80,0,[]
152,Num739Line101Vers15,35,45,0,[]
153,Num181Line15Vers25,0,80,0,[]
154,Num414Line42Vers17,5,75,0,[]
155,Num528Line82Vers11,13,67,0,[]
156,Num294Line20Vers45,0,80,0,[]
157,Num1301Line143Vers3,0,80,0,[]
158,Num1332Line146Vers18,28,52,0,[]
159,Num268Line20Vers19,0,80,0,[]
160,Num109Line13Vers27,0,80,0,[]
161,Num1296Line141Vers8,0,80,0,[]
162,Num160Line15Vers4,0,80,0,[]
163,Num830Line112Vers4,29,49,0,[]
164,Num824Line104Vers25,13,67,0,[]
165,Num799Line103Vers9,0,80,0,[]
166,Num1200Line137Vers9,0,25,0,[]
167,Num895Line113Vers1,0,80,0,[]
168,Num1336Line146Vers22,10,70,0,[]
169,Num275Line20Vers26,0,80,0,[]
170,Num340Line34Vers12,0,80,0,[]
171,Num1305Line144Vers4,0,80,0,[]
172,Num680Line88Vers10,0,80,0,[]
173,Num525Line82Vers8,13,67,0,[]
174,Num808Line104Vers9,23,57,0,[]
175,Num263Line20Vers14,0,80,0,[]
176,Num111Line13Vers29,0,80,0,[]
177,Num26Line8Vers13,0,80,0,[]
178,Num405Line42Vers8,11,55,0,[]
179,Num289Line20Vers40,0,80,0,[]
180,Num463Line61Vers12,6,74,0,[]
181,Num302Line22Vers1,3,77,0,[]
182,Num144Line14Vers25,0,80,0,[]
183,Num1354Line150Vers2,1,79,0,[]
184,Num23Line8Vers10,0,80,0,[]
185,Num811Line104Vers12,0,80,0,[]
186,Num24Line8Vers11,0,4,0,[]
187,Num1235Line139Vers20,0,80,0,[]
188,Num185Line15Vers29,0,80,0,[]
189,Num343Line37Vers1,0,80,0,[]
190,Num36Line9Vers10,2,78,0,[]
191,Num530Line82Vers13,13,67,0,[]
192,Num253Line20Vers4,0,80,0,[]
193,Num1353Line150Vers1,1,79,0,[]
194,Num1292Line141Vers4,0,80,0,[]
195,Num1312Line144Vers11,0,80,0,[]
196,Num141Line14Vers22,0,80,0,[]
197,Num194Line15Vers38,0,80,0,[]
198,Num476Line63Vers12,0,80,0,[]
199,Num807Line104Vers8,13,67,0,[]
200,Num1116Line121Vers4,0,80,0,[]
201,Num250Line20Vers1,0,80,0,[]
202,Num717Line92Vers7,0,80,0,[]
203,Num182Line15Vers26,0,80,0,[]
204,Num351Line37Vers9,0,80,0,[]
205,Num674Line88Vers4,0,80,0,[]
206,Num1337Line146Vers23,7,73,0,[]
207,Num1129Line122Vers11,0,80,0,[]
208,Num100Line13Vers18,0,80,0,[]
209,Num751Line101Vers27,23,56,0,[]
210,Num1318Line146Vers4,29,51,0,[]
211,Num193Line15Vers37,0,80,0,[]
212,Num252Line20Vers3,0,80,0,[]
213,Num270Line20Vers21,0,80,0,[]
214,Num425Line43Vers11,0,4,0,[]
215,Num106Line13Vers24,0,80,0,[]
216,Num148Line14Vers29,0,80,0,[]
217,Num718Line92Vers8,0,80,0,[]
218,Num679Line88Vers9,0,80,0,[]
219,Num324Line33Vers3,7,73,0,[]
220,Num117Line13Vers35,0,80,0,[]
221,Num1377Line152Vers1,0,80,0,[]
222,Num1167Line134Vers1,0,80,0,[]
223,Num1072Line118Vers4,0,1,0,[]
224,Num84Line13Vers2,0,80,0,[]
225,Num327Line33Vers6,0,4,0,[]
226,Num276Line20Vers27,0,80,0,[]
