,file_name,cnt_no_v,cnt_v,otro,status
50,Num221Line16Vers27,115,0,0,[]
51,Num284Line20Vers35,115,0,0,[]
52,Num1296Line141Vers8,115,0,0,[]
53,Num635Line86Vers17,4,110,1,[]
54,Num1390Line153Vers1,115,0,0,[]
55,Num476Line63Vers12,115,0,0,[]
56,Num107Line13Vers25,115,0,0,[]
57,Num151Line14Vers32,115,0,0,[]
58,Num194Line15Vers38,115,0,0,[]
59,Num111Line13Vers29,115,0,0,[]
60,Num938Line114Vers43,103,12,0,[]
61,Num681Line88Vers11,115,0,0,[]
62,Num127Line14Vers8,115,0,0,[]
63,Num276Line20Vers27,115,0,0,[]
64,Num1357Line150Vers5,115,0,0,[]
65,Num1332Line146Vers18,0,115,0,[]
66,Num760Line101Vers36,3,112,0,[]
67,Num338Line34Vers10,115,0,0,[]
68,Num826Line104Vers27,20,95,0,[]
69,Num177Line15Vers21,115,0,0,[]
70,Num463Line61Vers12,2,113,0,[]
71,Num142Line14Vers23,115,0,0,[]
72,Num158Line15Vers2,115,0,0,[]
73,Num178Line15Vers22,115,0,0,[]
74,Num818Line104Vers19,21,94,0,[]
75,Num1241Line139Vers26,0,47,68,[]
76,Num807Line104Vers8,20,95,0,[]
77,Num411Line42Vers14,4,111,0,[]
78,Num106Line13Vers24,115,0,0,[]
79,Num26Line8Vers13,115,0,0,[]
80,Num24Line8Vers11,47,0,68,[]
81,Num1297Line141Vers9,115,0,0,[]
82,Num1137Line122Vers19,47,0,68,[]
83,Num109Line13Vers27,115,0,0,[]
84,Num220Line16Vers26,115,0,0,[]
85,Num270Line20Vers21,115,0,0,[]
86,Num78Line11Vers32,115,0,0,[]
87,Num1377Line152Vers1,115,0,0,[]
88,Num511Line73Vers1,115,0,0,[]
89,Num1289Line141Vers1,115,0,0,[]
90,Num179Line15Vers23,115,0,0,[]
91,Num339Line34Vers11,115,0,0,[]
92,Num144Line14Vers25,115,0,0,[]
93,Num176Line15Vers20,115,0,0,[]
94,Num680Line88Vers10,115,0,0,[]
95,Num1356Line150Vers4,115,0,0,[]
96,Num824Line104Vers25,20,95,0,[]
97,Num528Line82Vers11,63,52,0,[]
98,Num1378Line152Vers2,115,0,0,[]
99,Num110Line13Vers28,115,0,0,[]
