,mutant_ID,is_output_x_equal_true,is_output_x_equal_false,is_output_x_equal_other,is_output_y_equal_true,is_output_y_equal_false,is_output_y_equal_other,is_int_x_equal_true,is_int_x_equal_false,is_int_x_equal_other,is_int_y_equal_true,is_int_y_equal_false,is_int_y_equal_other
166,Num1228Line139Vers13,0,195,0,0,195,0,0,195,0,0,195,0
167,Num189Line15Vers33,195,0,0,195,0,0,195,0,0,195,0,0
168,Num462Line61Vers11,3,192,0,0,195,0,139,56,0,5,190,0
169,Num856Line112Vers30,92,103,0,92,103,0,113,82,0,115,80,0
170,Num291Line20Vers42,195,0,0,195,0,0,195,0,0,195,0,0
171,Num808Line104Vers9,20,175,0,20,175,0,27,168,0,27,168,0
172,Num895Line113Vers1,195,0,0,195,0,0,195,0,0,195,0,0
173,Num70Line11Vers24,195,0,0,195,0,0,195,0,0,195,0,0
174,Num824Line104Vers25,67,128,0,67,128,0,79,116,0,80,115,0
175,Num1167Line134Vers1,195,0,0,195,0,0,195,0,0,195,0,0
176,Num1235Line139Vers20,195,0,0,195,0,0,195,0,0,195,0,0
177,Num231Line16Vers37,195,0,0,195,0,0,195,0,0,195,0,0
178,Num340Line34Vers12,195,0,0,195,0,0,195,0,0,195,0,0
179,Num1188Line136Vers10,0,195,0,0,195,0,0,195,0,0,195,0
180,Num430Line43Vers16,15,180,0,15,180,0,15,180,0,15,180,0
181,Num1362Line150Vers10,195,0,0,0,195,0,195,0,0,195,0,0
182,Num428Line43Vers14,195,0,0,195,0,0,195,0,0,195,0,0
183,Num102Line13Vers20,195,0,0,195,0,0,195,0,0,195,0,0
184,Num425Line43Vers11,0,195,0,0,195,0,0,195,0,0,195,0
185,Num224Line16Vers30,195,0,0,195,0,0,195,0,0,195,0,0
186,Num229Line16Vers35,195,0,0,195,0,0,195,0,0,195,0,0
187,Num183Line15Vers27,195,0,0,195,0,0,195,0,0,195,0,0
188,Num274Line20Vers25,195,0,0,195,0,0,195,0,0,195,0,0
189,Num37Line9Vers11,145,50,0,145,50,0,145,50,0,145,50,0
190,Num1246Line140Vers4,0,195,0,0,195,0,0,195,0,0,195,0
191,Num106Line13Vers24,195,0,0,195,0,0,195,0,0,195,0,0
192,Num1139Line122Vers21,0,195,0,0,195,0,0,195,0,0,195,0
193,Num24Line8Vers11,0,195,0,0,195,0,0,195,0,0,195,0
194,Num250Line20Vers1,195,0,0,195,0,0,195,0,0,195,0,0
195,Num223Line16Vers29,195,0,0,195,0,0,195,0,0,195,0,0
196,Num177Line15Vers21,195,0,0,195,0,0,195,0,0,195,0,0
197,Num1374Line151Vers9,195,0,0,0,195,0,195,0,0,195,0,0
198,Num327Line33Vers6,0,195,0,0,195,0,0,195,0,0,195,0
199,Num204Line16Vers10,195,0,0,195,0,0,195,0,0,195,0,0
200,Num270Line20Vers21,195,0,0,195,0,0,195,0,0,195,0,0
201,Num299Line21Vers4,195,0,0,195,0,0,195,0,0,195,0,0
202,Num1336Line146Vers22,195,0,0,195,0,0,195,0,0,0,195,0
203,Num763Line101Vers39,11,184,0,11,184,0,21,174,0,22,173,0
204,Num289Line20Vers40,195,0,0,195,0,0,195,0,0,195,0,0
205,Num1232Line139Vers17,195,0,0,195,0,0,195,0,0,195,0,0
206,Num669Line87Vers16,165,30,0,0,0,6,166,29,0,0,0,6
207,Num1341Line148Vers1,195,0,0,195,0,0,195,0,0,0,195,0
208,Num265Line20Vers16,195,0,0,195,0,0,195,0,0,195,0,0
209,Num718Line92Vers8,194,1,0,194,1,0,195,0,0,195,0,0
210,Num823Line104Vers24,67,128,0,67,128,0,79,116,0,80,115,0
211,Num114Line13Vers32,195,0,0,195,0,0,195,0,0,195,0,0
212,Num680Line88Vers10,195,0,0,195,0,0,195,0,0,195,0,0
213,Num119Line13Vers37,195,0,0,195,0,0,195,0,0,195,0,0
214,Num781Line101Vers57,22,173,0,22,173,0,33,162,0,34,161,0
215,Num706Line90Vers23,0,195,0,0,195,0,0,195,0,0,195,0
216,Num277Line20Vers28,195,0,0,195,0,0,195,0,0,195,0,0
217,Num1080Line118Vers12,5,190,0,5,190,0,18,177,0,18,177,0
218,Num1142Line122Vers24,151,44,0,151,44,0,151,44,0,151,44,0
219,Num818Line104Vers19,20,175,0,20,175,0,27,168,0,27,168,0
220,Num279Line20Vers30,195,0,0,195,0,0,195,0,0,195,0,0
221,Num180Line15Vers24,195,0,0,195,0,0,195,0,0,195,0,0
222,Num227Line16Vers33,195,0,0,195,0,0,195,0,0,195,0,0
223,Num503Line72Vers5,6,189,0,0,195,0,113,82,0,0,195,0
224,Num423Line43Vers9,195,0,0,195,0,0,195,0,0,195,0,0
225,Num426Line43Vers12,195,0,0,195,0,0,195,0,0,195,0,0
226,Num752Line101Vers28,107,88,0,107,88,0,127,68,0,131,64,0
227,Num1314Line145Vers1,0,195,0,0,195,0,0,195,0,0,195,0
228,Num89Line13Vers7,195,0,0,195,0,0,195,0,0,195,0,0
229,Num1129Line122Vers11,195,0,0,195,0,0,195,0,0,195,0,0
230,Num1241Line139Vers26,0,195,0,0,195,0,0,195,0,0,195,0
231,Num199Line16Vers5,195,0,0,53,142,0,195,0,0,195,0,0
232,Num784Line101Vers60,49,146,0,49,146,0,62,133,0,63,132,0
233,Num11Line7Vers11,195,0,0,195,0,0,195,0,0,195,0,0
234,Num830Line112Vers4,38,157,0,38,157,0,39,156,0,39,156,0
235,Num1366Line151Vers1,195,0,0,0,195,0,195,0,0,195,0,0
236,Num1326Line146Vers12,195,0,0,195,0,0,195,0,0,0,195,0
237,Num354Line38Vers3,195,0,0,195,0,0,195,0,0,195,0,0
238,Num9Line7Vers9,0,195,0,0,195,0,0,195,0,0,195,0
239,Num110Line13Vers28,195,0,0,195,0,0,195,0,0,195,0,0
240,Num355Line39Vers1,194,1,0,194,1,0,194,1,0,194,1,0
241,Num671Line88Vers1,195,0,0,195,0,0,195,0,0,195,0,0
242,Num368Line41Vers12,195,0,0,195,0,0,195,0,0,195,0,0
243,Num241Line19Vers1,195,0,0,195,0,0,195,0,0,195,0,0
244,Num1390Line153Vers1,195,0,0,195,0,0,195,0,0,195,0,0
245,Num184Line15Vers28,195,0,0,195,0,0,195,0,0,195,0,0
246,Num412Line42Vers15,16,179,0,12,183,0,77,118,0,31,164,0
247,Num273Line20Vers24,195,0,0,195,0,0,195,0,0,195,0,0
248,Num758Line101Vers34,12,183,0,12,183,0,22,173,0,23,172,0
249,Num675Line88Vers5,195,0,0,195,0,0,195,0,0,195,0,0
250,Num1112Line120Vers1,195,0,0,195,0,0,195,0,0,195,0,0
251,Num1225Line139Vers10,0,195,0,0,195,0,0,195,0,0,195,0
252,Num1238Line139Vers23,0,195,0,0,195,0,0,195,0,0,195,0
253,Num297Line21Vers2,195,0,0,195,0,0,195,0,0,195,0,0
254,Num761Line101Vers37,20,175,0,20,175,0,26,169,0,27,168,0
255,Num799Line103Vers9,194,1,0,194,1,0,195,0,0,195,0,0
256,Num156Line14Vers37,195,0,0,195,0,0,195,0,0,195,0,0
257,Num120Line14Vers1,195,0,0,170,25,0,195,0,0,195,0,0
258,Num739Line101Vers15,23,172,0,23,172,0,28,167,0,28,167,0
259,Num783Line101Vers59,8,187,0,8,187,0,15,180,0,16,179,0
260,Num532Line82Vers15,82,113,0,82,113,0,110,85,0,109,86,0
261,Num399Line42Vers2,16,179,0,12,183,0,77,118,0,31,164,0
262,Num38Line9Vers12,145,50,0,145,50,0,145,50,0,147,48,0
263,Num26Line8Vers13,195,0,0,195,0,0,195,0,0,195,0,0
264,Num738Line101Vers14,13,182,0,13,182,0,17,178,0,18,177,0
265,Num288Line20Vers39,195,0,0,195,0,0,195,0,0,195,0,0
266,Num356Line40Vers1,194,1,0,194,1,0,194,1,0,194,1,0
267,Num525Line82Vers8,82,113,0,82,113,0,110,85,0,109,86,0
268,Num252Line20Vers3,195,0,0,195,0,0,195,0,0,195,0,0
269,Num515Line74Vers4,0,195,0,0,195,0,0,195,0,0,195,0
270,Num249Line19Vers9,195,0,0,195,0,0,195,0,0,195,0,0
271,Num475Line63Vers11,195,0,0,195,0,0,195,0,0,195,0,0
272,Num1231Line139Vers16,195,0,0,195,0,0,195,0,0,195,0,0
273,Num1308Line144Vers7,195,0,0,195,0,0,195,0,0,195,0,0
274,Num203Line16Vers9,195,0,0,195,0,0,195,0,0,195,0,0
275,Num658Line87Vers5,165,30,0,0,0,6,166,29,0,0,0,6
276,Num178Line15Vers22,195,0,0,195,0,0,195,0,0,195,0,0
277,Num104Line13Vers22,195,0,0,195,0,0,195,0,0,195,0,0
278,Num790Line102Vers1,195,0,0,195,0,0,195,0,0,195,0,0
279,Num90Line13Vers8,195,0,0,195,0,0,195,0,0,195,0,0
280,Num148Line14Vers29,195,0,0,195,0,0,195,0,0,195,0,0
281,Num760Line101Vers36,19,176,0,19,176,0,26,169,0,26,169,0
282,Num109Line13Vers27,195,0,0,195,0,0,195,0,0,195,0,0
283,Num509Line72Vers11,1,194,0,0,195,0,118,77,0,6,189,0
284,Num193Line15Vers37,195,0,0,195,0,0,195,0,0,195,0,0
285,Num112Line13Vers30,195,0,0,195,0,0,195,0,0,195,0,0
286,Num304Line22Vers3,195,0,0,195,0,0,195,0,0,195,0,0
287,Num342Line36Vers1,0,195,0,0,195,0,0,195,0,0,195,0
288,Num1296Line141Vers8,195,0,0,195,0,0,195,0,0,195,0,0
289,Num213Line16Vers19,195,0,0,195,0,0,195,0,0,195,0,0
290,Num609Line85Vers31,195,0,0,195,0,0,195,0,0,195,0,0
291,Num263Line20Vers14,195,0,0,195,0,0,195,0,0,195,0,0
292,Num116Line13Vers34,195,0,0,195,0,0,195,0,0,195,0,0
293,Num128Line14Vers9,195,0,0,195,0,0,195,0,0,195,0,0
294,Num811Line104Vers12,195,0,0,195,0,0,195,0,0,195,0,0
295,Num405Line42Vers8,0,195,0,0,195,0,1,194,0,0,195,0
296,Num175Line15Vers19,195,0,0,195,0,0,195,0,0,195,0,0
297,Num398Line42Vers1,195,0,0,195,0,0,195,0,0,195,0,0
298,Num160Line15Vers4,195,0,0,195,0,0,195,0,0,195,0,0
299,Num337Line34Vers9,0,195,0,0,195,0,0,195,0,0,195,0
300,Num1239Line139Vers24,0,195,0,0,195,0,0,195,0,0,195,0
301,Num1236Line139Vers21,195,0,0,195,0,0,195,0,0,195,0,0
302,Num121Line14Vers2,195,0,0,170,25,0,195,0,0,195,0,0
303,Num195Line16Vers1,195,0,0,53,142,0,195,0,0,195,0,0
304,Num53Line11Vers7,195,0,0,195,0,0,195,0,0,195,0,0
305,Num293Line20Vers44,195,0,0,195,0,0,195,0,0,195,0,0
306,Num100Line13Vers18,195,0,0,195,0,0,195,0,0,195,0,0
307,Num221Line16Vers27,195,0,0,195,0,0,195,0,0,195,0,0
308,Num1381Line152Vers5,195,0,0,0,195,0,195,0,0,195,0,0
309,Num1305Line144Vers4,195,0,0,195,0,0,195,0,0,195,0,0
310,Num1327Line146Vers13,195,0,0,195,0,0,195,0,0,0,195,0
311,Num378Line41Vers22,195,0,0,195,0,0,195,0,0,195,0,0
312,Num296Line21Vers1,195,0,0,195,0,0,195,0,0,195,0,0
313,Num138Line14Vers19,195,0,0,195,0,0,195,0,0,195,0,0
314,Num186Line15Vers30,195,0,0,195,0,0,195,0,0,195,0,0
315,Num341Line35Vers1,0,195,0,0,195,0,0,195,0,0,195,0
316,Num217Line16Vers23,195,0,0,195,0,0,195,0,0,195,0,0
317,Num401Line42Vers4,195,0,0,195,0,0,195,0,0,195,0,0
318,Num267Line20Vers18,195,0,0,195,0,0,195,0,0,195,0,0
319,Num164Line15Vers8,195,0,0,195,0,0,195,0,0,195,0,0
320,Num568Line84Vers16,0,195,0,0,195,0,1,194,0,1,194,0
321,Num1367Line151Vers2,195,0,0,0,195,0,195,0,0,195,0,0
322,Num1116Line121Vers4,195,0,0,195,0,0,195,0,0,195,0,0
323,Num418Line43Vers4,195,0,0,195,0,0,195,0,0,195,0,0
324,Num819Line104Vers20,67,128,0,67,128,0,79,116,0,80,115,0
325,Num43Line10Vers4,185,10,0,170,25,0,195,0,0,195,0,0
326,Num1292Line141Vers4,195,0,0,195,0,0,195,0,0,195,0,0
327,Num1298Line142Vers1,0,195,0,0,195,0,0,195,0,0,195,0
328,Num1166Line133Vers1,195,0,0,195,0,0,195,0,0,195,0,0
329,Num666Line87Vers13,195,0,0,195,0,0,195,0,0,195,0,0
330,Num679Line88Vers9,195,0,0,195,0,0,195,0,0,195,0,0
331,Num154Line14Vers35,195,0,0,195,0,0,195,0,0,195,0,0
332,Num303Line22Vers2,195,0,0,195,0,0,195,0,0,195,0,0
333,Num230Line16Vers36,195,0,0,195,0,0,195,0,0,195,0,0
334,Num431Line43Vers17,0,195,0,0,195,0,0,195,0,0,195,0
335,Num1137Line122Vers19,0,195,0,0,195,0,0,195,0,0,195,0
336,Num511Line73Vers1,195,0,0,195,0,0,195,0,0,195,0,0
337,Num1330Line146Vers16,7,0,0,7,0,0,7,0,0,0,7,0
338,Num150Line14Vers31,195,0,0,195,0,0,195,0,0,195,0,0
339,Num1350Line149Vers9,195,0,0,0,195,0,195,0,0,195,0,0
340,Num449Line60Vers4,2,193,0,0,195,0,62,133,0,7,188,0
341,Num36Line9Vers10,145,50,0,145,50,0,145,50,0,147,48,0
342,Num188Line15Vers32,195,0,0,195,0,0,195,0,0,195,0,0
343,Num722Line93Vers4,135,60,0,135,60,0,138,57,0,138,57,0
344,Num1386Line152Vers10,195,0,0,0,195,0,195,0,0,195,0,0
345,Num1318Line146Vers4,195,0,0,195,0,0,195,0,0,0,195,0
346,Num278Line20Vers29,195,0,0,195,0,0,195,0,0,195,0,0
347,Num352Line38Vers1,195,0,0,195,0,0,195,0,0,195,0,0
348,Num118Line13Vers36,195,0,0,195,0,0,195,0,0,195,0,0
349,Num75Line11Vers29,195,0,0,195,0,0,195,0,0,195,0,0
350,Num298Line21Vers3,195,0,0,195,0,0,195,0,0,195,0,0
351,Num681Line88Vers11,195,0,0,195,0,0,195,0,0,195,0,0
352,Num351Line37Vers9,195,0,0,195,0,0,195,0,0,195,0,0
353,Num1176Line135Vers9,0,195,0,0,195,0,0,195,0,1,194,0
354,Num196Line16Vers2,195,0,0,53,142,0,195,0,0,195,0,0
355,Num1338Line146Vers24,195,0,0,195,0,0,195,0,0,0,195,0
356,Num44Line10Vers5,185,10,0,172,23,0,195,0,0,195,0,0
357,Num459Line61Vers8,1,194,0,0,195,0,44,151,0,0,195,0
358,Num176Line15Vers20,195,0,0,195,0,0,195,0,0,195,0,0
359,Num222Line16Vers28,195,0,0,195,0,0,195,0,0,195,0,0
360,Num107Line13Vers25,195,0,0,195,0,0,195,0,0,195,0,0
361,Num1302Line144Vers1,195,0,0,195,0,0,195,0,0,195,0,0
362,Num424Line43Vers10,195,0,0,195,0,0,195,0,0,195,0,0
363,Num1306Line144Vers5,195,0,0,195,0,0,195,0,0,195,0,0
