,index,mutant_ID,is_output_x_equal_true,is_output_x_equal_false,is_output_x_equal_other,is_output_y_equal_true,is_output_y_equal_false,is_output_y_equal_other,is_int_x_equal_true,is_int_x_equal_false,is_int_x_equal_other,is_int_y_equal_true,is_int_y_equal_false,is_int_y_equal_other
84,235,Num1366Line151Vers1,195,0,0,0,195,0,195,0,0,195,0,0
85,236,Num1326Line146Vers12,195,0,0,195,0,0,195,0,0,0,195,0
86,240,Num355Line39Vers1,194,1,0,194,1,0,194,1,0,194,1,0
87,246,Num412Line42Vers15,16,179,0,12,183,0,77,118,0,31,164,0
88,248,Num758Line101Vers34,12,183,0,12,183,0,22,173,0,23,172,0
89,254,Num761Line101Vers37,20,175,0,20,175,0,26,169,0,27,168,0
90,255,Num799Line103Vers9,194,1,0,194,1,0,195,0,0,195,0,0
91,257,Num120Line14Vers1,195,0,0,170,25,0,195,0,0,195,0,0
92,258,Num739Line101Vers15,23,172,0,23,172,0,28,167,0,28,167,0
93,259,Num783Line101Vers59,8,187,0,8,187,0,15,180,0,16,179,0
94,260,Num532Line82Vers15,82,113,0,82,113,0,110,85,0,109,86,0
95,261,Num399Line42Vers2,16,179,0,12,183,0,77,118,0,31,164,0
96,262,Num38Line9Vers12,145,50,0,145,50,0,145,50,0,147,48,0
97,264,Num738Line101Vers14,13,182,0,13,182,0,17,178,0,18,177,0
98,266,Num356Line40Vers1,194,1,0,194,1,0,194,1,0,194,1,0
99,267,Num525Line82Vers8,82,113,0,82,113,0,110,85,0,109,86,0
100,275,Num658Line87Vers5,165,30,0,0,0,6,166,29,0,0,0,6
101,281,Num760Line101Vers36,19,176,0,19,176,0,26,169,0,26,169,0
102,283,Num509Line72Vers11,1,194,0,0,195,0,118,77,0,6,189,0
103,295,Num405Line42Vers8,0,195,0,0,195,0,1,194,0,0,195,0
104,302,Num121Line14Vers2,195,0,0,170,25,0,195,0,0,195,0,0
105,303,Num195Line16Vers1,195,0,0,53,142,0,195,0,0,195,0,0
106,308,Num1381Line152Vers5,195,0,0,0,195,0,195,0,0,195,0,0
107,310,Num1327Line146Vers13,195,0,0,195,0,0,195,0,0,0,195,0
108,320,Num568Line84Vers16,0,195,0,0,195,0,1,194,0,1,194,0
109,321,Num1367Line151Vers2,195,0,0,0,195,0,195,0,0,195,0,0
110,324,Num819Line104Vers20,67,128,0,67,128,0,79,116,0,80,115,0
111,325,Num43Line10Vers4,185,10,0,170,25,0,195,0,0,195,0,0
112,337,Num1330Line146Vers16,7,0,0,7,0,0,7,0,0,0,7,0
113,339,Num1350Line149Vers9,195,0,0,0,195,0,195,0,0,195,0,0
114,340,Num449Line60Vers4,2,193,0,0,195,0,62,133,0,7,188,0
115,341,Num36Line9Vers10,145,50,0,145,50,0,145,50,0,147,48,0
116,343,Num722Line93Vers4,135,60,0,135,60,0,138,57,0,138,57,0
117,344,Num1386Line152Vers10,195,0,0,0,195,0,195,0,0,195,0,0
118,345,Num1318Line146Vers4,195,0,0,195,0,0,195,0,0,0,195,0
119,353,Num1176Line135Vers9,0,195,0,0,195,0,0,195,0,1,194,0
120,354,Num196Line16Vers2,195,0,0,53,142,0,195,0,0,195,0,0
121,355,Num1338Line146Vers24,195,0,0,195,0,0,195,0,0,0,195,0
122,356,Num44Line10Vers5,185,10,0,172,23,0,195,0,0,195,0,0
123,357,Num459Line61Vers8,1,194,0,0,195,0,44,151,0,0,195,0
124,373,Num519Line82Vers2,82,113,0,82,113,0,110,85,0,109,86,0
125,375,Num434Line43Vers20,15,180,0,15,180,0,15,180,0,15,180,0
126,377,Num1356Line150Vers4,195,0,0,0,195,0,195,0,0,195,0,0
127,381,Num1377Line152Vers1,195,0,0,0,195,0,195,0,0,195,0,0
128,384,Num123Line14Vers4,195,0,0,170,25,0,195,0,0,195,0,0
129,385,Num302Line22Vers1,137,58,0,84,111,0,195,0,0,195,0,0
130,388,Num773Line101Vers49,19,176,0,19,176,0,26,169,0,26,169,0
131,389,Num455Line61Vers4,2,193,0,0,195,0,43,152,0,1,194,0
132,392,Num938Line114Vers43,75,120,0,75,120,0,90,105,0,91,104,0
133,398,Num635Line86Vers17,0,195,0,0,195,0,1,194,0,0,195,0
134,400,Num45Line10Vers6,28,167,0,11,184,0,193,2,0,193,2,0
135,401,Num1331Line146Vers17,195,0,0,195,0,0,195,0,0,0,195,0
136,402,Num411Line42Vers14,16,179,0,12,183,0,77,118,0,31,164,0
