,test_id,delta_phi,sum_err,current_min,expected_minimal_error,diff,relative_dif
22,bEWNkMUyS9U6X2PDhjFM3d,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[677.276367, 318.587677, 171.121872, 100.724297, 64.0544586, 44.0092049, 32.8728676, 26.8131542, 23.7858849, 22.6384277, 22.6927299, 23.5364208, 24.9124851, 26.658062, 28.6691952, 30.8797417, 33.2486153, 35.7515945, 38.3762, 41.1184807, 43.9806442]",22.6384277,22.6927299,0.054302199999998635,-0.23929337827265387
23,x5gMSVk4vgNeWihtwsCaD5R,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[33.3949776, 30.9235935, 28.5135841, 26.1849556, 23.9677086, 21.9055901, 20.0611973, 18.5235329, 17.4193439, 16.9299278, 17.3172512, 18.9648399, 22.4438801, 28.6230202, 38.8578758, 55.3303757, 81.6885757, 124.323944, 195.11174, 317.84549, 545.240356]",16.9299278,17.3172512,0.38732339999999965,-2.23663325967114
24,F2GwHjD4J2wDoEq8ixXY25,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[68.2285538, 66.7555237, 65.4793167, 64.3860779, 63.4643974, 62.7053795, 62.1028557, 61.6537666, 61.3588028, 61.2234383, 61.2594452, 61.4873581, 61.9401703, 62.6694031, 63.7548599, 65.3209534, 67.5653305, 70.8103714, 75.6017227, 82.9079132, 94.5563278]",61.2234383,61.2594452,0.03600690000000384,-0.05877771155525228
25,GnjwJnAQFuDeKzNeLJDnf6,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[107.513794, 98.723381, 90.980476, 84.1466293, 78.1080093, 72.7703171, 68.0552521, 63.897270199999994, 60.2414703, 57.0416946, 54.2590103, 54.1076, 54.0165477, 54.0006437, 53.8076477, 53.9820137, 54.317477, 54.2693367, 53.9962845, 54.14325, 54.2219429]",53.8076477,54.2590103,0.45136260000000306,-0.8318666291633466
26,BXjdVB53kVCLDT8jmdLXDL,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[97.1135483, 90.647438, 85.5340881, 81.5598907, 78.5602875, 76.4095306, 75.0134583, 74.3039551, 74.235405, 74.7821198, 74.9370499, 77.7111435, 80.133873, 83.2545319, 87.1445312, 91.9011765, 97.6524506, 104.564262, 112.850349, 122.785225, 134.722855]",74.235405,74.9370499,0.7016449000000051,-0.9363124128002337
27,MKpZPvonb2ueXFA55aRuYu,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[80.1761856, 59.7366333, 47.9203949, 40.7086792, 36.1568756, 33.2408371, 31.3843269, 30.2453384, 29.6117458, 29.346983, 29.3602676, 29.5895195, 29.9912281, 30.5342159, 31.1956806, 31.9586544, 32.8103104, 33.7408066, 34.7424965, 35.8093948, 36.9367447]",29.346983,29.3602676,0.013284599999998647,-0.045246862804474736
28,cajucmziWvqioudNXC7mQm,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[12.3337545, 11.7036648, 11.1555519, 10.6843052, 10.2865124, 9.96008205, 9.703969, 9.51798439, 9.40267181, 9.35921192, 9.38935852, 9.4954071, 9.68017101, 9.94697857, 10.2996826, 10.7426634, 11.2808685, 11.9198561, 12.6658058, 13.5256271, 14.5069857]",9.35921192,9.38935852,0.030146600000000134,-0.32107198735446874
29,XCi6uNXM2CEn4CfSNV2232,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[25754.9805, 5576.81445, 2085.36084, 986.243652, 538.90387, 330.498962, 226.473679, 173.782898, 148.7314, 139.79747, 140.079956, 149.5065, 163.545166, 182.577499, 206.584946, 235.99939, 271.645142, 314.743927, 366.96994, 430.551758, 508.440369]",139.79747,140.079956,0.2824860000000058,-0.20166054306870695
30,UNn9jRcMf6B9Z4XUDkCMUi,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[111.198151, 107.633812, 104.328308, 101.259155, 98.4083786, 95.7642517, 93.3239212, 91.0988388, 89.1248245, 87.4814148, 86.3311462, 86.0034866, 87.1882477, 91.4268265, 102.531837, 131.515503, 219.218887, 607.908203, 7117.07764, 6167.77, 1022.54449]",86.0034866,86.3311462,0.32765960000000405,-0.37953810927162696
31,gfSswo4n2UABSVvXpkVA9S,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[44.053318, 41.5350113, 39.2974, 37.3362274, 35.6541824, 34.2600784, 33.1682739, 32.3985062, 31.9759254, 31.9312668, 32.3013115, 33.129467, 34.4665642, 36.3718834, 38.9143944, 42.1743622, 46.2451553, 51.235775, 57.2734222, 64.50737, 73.1129379]",31.9312668,32.3013115,0.37004469999999756,-1.145602710280038
32,YDbTjZztQbpvmRBhjscD9Y,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[83.665741, 81.5475922, 79.6688538, 78.0231628, 76.6073608, 75.4213409, 74.4680328, 73.753418, 73.2866669, 73.0803452, 73.1505814, 73.5175171, 74.2057114, 75.2447205, 76.6697693, 78.522644, 80.8528, 83.7185898, 87.1889725, 91.3454437, 96.284523]",73.0803452,73.1505814,0.07023619999999653,-0.09601591491929896
33,RnFepgupsK5zKDQ8SM9P32,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[59.2839432, 54.79813, 51.1551399, 48.2127609, 45.8658524, 44.0375023, 42.6729202, 41.7351646, 41.2021065, 41.0645, 41.3246536, 41.9958649, 43.1022797, 44.6793213, 46.7745323, 49.4490356, 52.7795, 56.8608627, 61.8100128, 67.7702789, 74.9178696]",41.0645,41.3246536,0.2601535999999953,-0.6295360694807987
34,f9i7ruDvy342YGdtrsrZ9G,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[87.6226578, 86.1727753, 84.843605, 83.6324, 82.5380096, 81.5609741, 80.7044, 79.9743729, 79.3814468, 78.9422913, 78.682373, 78.6403122, 78.8746796, 79.4752197, 80.581955, 82.4189758, 85.3567429, 90.0336533, 97.6091156, 110.335464, 132.994019]",78.6403122,78.682373,0.042060800000001564,-0.05345644570226875
35,mJZL83R4fXE4TSFxawxco4,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[66.5725403, 60.6000481, 56.359787, 53.3190041, 51.1343422, 49.5780563, 48.495491, 47.7795181, 47.3547783, 47.1676483, 47.1796532, 47.3631172, 47.6982117, 48.1708908, 48.7714653, 49.4936218, 50.3336372, 51.2899437, 52.362648, 53.5533905, 54.8650665]",47.1676483,47.1796532,0.012004899999993768,-0.02544507893922749
36,PPUn7tBQgqS9a9o6Qfey2R,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[15.7164516, 14.2136765, 13.0651331, 12.1821251, 11.5062227, 10.9979801, 10.6302481, 10.384059, 10.2460403, 10.2067461, 10.2595444, 10.3998623, 10.6246939, 10.9322176, 11.3215704, 11.7926559, 12.3460274, 12.9827986, 13.7045813, 14.5134449, 15.4119005]",10.2067461,10.2595444,0.05279829999999919,-0.5146261660507965
37,LDWDCrxgQa9gQAqdDGGH3x,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[68.8414764, 67.7519455, 66.7635269, 65.8776932, 65.0971298, 64.4260941, 63.8707237, 63.4394951, 63.1438293, 62.9988899, 63.0247574, 63.2478523, 63.703167, 64.4371185, 65.5118332, 67.0112534, 69.0501556, 71.7876434, 75.4481354, 80.3542252, 86.9801]",62.9988899,63.0247574,0.025867499999996824,-0.041043394797735194
38,dbVazjxnjQurvBANdqKXZf,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[86.6410599, 84.2735062, 82.3846588, 80.8778305, 79.6803055, 78.7369614, 78.0058746, 77.4550781, 77.0603561, 76.8035049, 76.671196, 76.6540527, 76.7459793, 76.9437714, 77.2467346, 77.6564789, 78.1769104, 78.8140793, 79.5763, 80.4742813, 81.5213318]",76.6540527,76.671196,0.01714330000000075,-0.022359505126280734
39,cxRiGhJ7zNUAyBzhBa3Lfs,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[85.3693924, 84.6896362, 84.172081, 83.8109741, 83.6018906, 83.5417099, 83.6286316, 83.8620453, 84.2426605, 84.7725143, 84.4550705, 86.2952194, 87.2995224, 88.4763107, 89.8359, 91.3908234, 93.1562195, 95.1501389, 97.3941, 99.9136429, 102.73909]",83.5417099,84.4550705,0.9133606000000043,-1.0814751495589647
40,x5wWGGUGHhX9XkC3dLkdBdV,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[63.4809456, 62.9543953, 62.5049629, 62.1321564, 61.8357086, 61.6155167, 61.4717102, 61.4045792, 61.4146423, 61.5026131, 61.6694221, 61.9162025, 62.2443428, 62.6554527, 63.1513939, 63.7343025, 64.4065781, 65.1709671, 66.0304871, 66.9885559, 68.0489273]",61.4045792,61.6694221,0.2648428999999979,-0.4294557837278613
41,Ren9VVTjXnUoDrMCqrq58v,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[70.9510193, 61.4223595, 54.5359, 49.5737686, 46.0385323, 43.5778885, 41.9379539, 40.9327278, 40.4239845, 40.3077583, 40.504921, 40.9546814, 41.6099396, 42.4338684, 43.3975525, 44.4780922, 45.6573296, 46.9207726, 48.2568359, 49.6562576, 51.1116447]",40.3077583,40.504921,0.1971626999999998,-0.4867623368528476
42,fdthhZCKYtPyNLkPeKzUFk,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[76.7252, 75.5498657, 74.4892044, 73.5358505, 72.6831207, 71.9251099, 71.2563858, 70.6721573, 70.1680374, 69.7401276, 69.3849106, 69.0992355, 68.8802872, 68.7255478, 68.6328, 68.6000366, 68.6255493, 68.7078476, 68.8456421, 69.0378265, 69.2835312]",68.6000366,69.3849106,0.7848740000000021,-1.1311883134428973
43,C5VtWXpTS3h65M2NPfsicQ,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[46.4873924, 43.0955772, 40.6090698, 38.7698669, 37.4124031, 36.4272, 35.7400703, 35.2997398, 35.0702171, 35.0259476, 35.1487, 35.4254799, 35.847126, 36.4073334, 37.1019897, 37.9286842, 38.8863907, 39.9752083, 41.1961899, 42.5512352, 44.0429955]",35.0259476,35.1487,0.12275239999999599,-0.3492373828903942
44,htZ63gzLmCEwxVDFiTE5n2,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[80.2420044, 76.8709564, 74.2889099, 72.3180771, 70.8282928, 69.722847, 68.9288712, 68.3908768, 68.0661545, 67.9215622, 67.9311523, 68.0745392, 68.3355713, 68.7014771, 69.1620941, 69.7093811, 70.3370056, 71.039978, 71.8144608, 72.6575699, 73.5672]",67.9215622,67.9311523,0.009590099999996937,-0.014117381606666693
45,nbvUfjN7hAzQ8FVuxusoBP,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[66.938118, 62.4839859, 58.770649, 55.6990318, 53.1859703, 51.1613731, 49.5660591, 48.3500557, 47.4710732, 46.8935089, 46.5874405, 46.5279694, 46.6946182, 47.0709, 47.6440277, 48.4047165, 49.3470917, 50.4686928, 51.7706642, 53.2579842, 54.9399567]",46.5279694,46.5874405,0.05947109999999611,-0.12765479142387337
46,fk7Dr7ibLGrcSStcEokWaN,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[111.823334, 107.26606, 103.089935, 99.2757263, 95.8112335, 92.6928635, 89.9281082, 87.5394516, 85.5704575, 84.0953445, 83.2344131, 83.1794, 84.2363205, 86.9004059, 91.9930878, 100.92392, 116.225281, 142.724243, 190.369278, 281.964783, 478.257599]",83.1794,83.2344131,0.055013099999996484,-0.0660941766164703
47,Eret4wzFhUn5FCMMHFrSec,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[384.239319, 181.479736, 110.12149, 78.7606, 63.1300774, 54.7555275, 50.123848, 47.5968437, 46.342392, 45.9100075, 46.0437889, 46.593132, 47.4672699, 48.6108932, 49.9904442, 51.5861778, 53.3873901, 55.3895073, 57.5922852, 59.9985199, 62.6134415]",45.9100075,46.0437889,0.13378140000000371,-0.2905525439936237
48,cENY9rAMrP7CSwmHHhzfbC,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[78.9656754, 78.0589371, 77.2399216, 76.5097198, 75.8702927, 75.3245163, 74.8762207, 74.5302505, 74.2926, 74.1705704, 74.1728058, 74.3096085, 74.5930939, 75.0374527, 75.6593, 76.4781113, 77.5165863, 78.8013382, 80.3635712, 82.2398911, 84.4734726]",74.1705704,74.1728058,0.002235400000003551,-0.003013773007362155
49,x5iNSArgz767ajyHUKwBqAa,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[64.8465805, 61.6320534, 58.6723022, 55.9857712, 53.5940437, 51.5222397, 49.7992897, 48.4583473, 47.5373878, 47.0797729, 47.1350098, 47.7596512, 49.0183792, 50.9852219, 53.7451057, 57.3955879, 62.0491486, 67.8355103, 74.9051514, 83.4328613, 93.6223373]",47.0797729,47.1350098,0.055236899999997036,-0.1171886889052838
50,NSdHUuQnoeu65jfwcvrybi,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[80.7627869, 73.5728149, 67.6768951, 62.8650513, 58.9670753, 55.8439903, 53.3815079, 51.4851036, 50.076107, 49.088726, 48.4676094, 48.1660461, 48.1444283, 48.36903, 48.8110199, 49.4457092, 50.2518806, 51.2112579, 52.3080177, 53.5285263, 54.8609238]",48.1444283,48.4676094,0.32318109999999933,-0.6667981028996229
