,file_name,cnt_nv,cnt_v,cnt_otro,status
199,Num299Line21Vers4,115,80,0,[]
200,Num1336Line146Vers22,59,136,0,[]
201,Num763Line101Vers39,114,78,0,[]
202,Num289Line20Vers40,115,80,0,[]
203,Num1232Line139Vers17,115,80,0,[]
204,Num669Line87Vers16,25,27,0,[]
205,Num1341Line148Vers1,59,136,0,[]
206,Num265Line20Vers16,115,80,0,[]
207,Num718Line92Vers8,115,80,0,[]
208,Num823Line104Vers24,111,84,0,[]
209,Num114Line13Vers32,115,80,0,[]
210,Num680Line88Vers10,115,80,0,[]
211,Num119Line13Vers37,115,80,0,[]
212,Num781Line101Vers57,121,73,0,[]
213,Num277Line20Vers28,115,80,0,[]
214,Num1080Line118Vers12,39,138,0,[]
215,Num1142Line122Vers24,113,82,0,[]
216,Num818Line104Vers19,102,93,0,[]
217,Num279Line20Vers30,115,80,0,[]
218,Num180Line15Vers24,115,80,0,[]
219,Num227Line16Vers33,115,80,0,[]
220,Num503Line72Vers5,61,134,0,[]
221,Num423Line43Vers9,115,80,0,[]
222,Num426Line43Vers12,115,80,0,[]
223,Num752Line101Vers28,126,69,0,[]
224,Num89Line13Vers7,115,80,0,[]
225,Num1129Line122Vers11,115,80,0,[]
226,Num1241Line139Vers26,0,45,0,[]
227,Num199Line16Vers5,115,80,0,[]
228,Num784Line101Vers60,112,81,0,[]
229,Num11Line7Vers11,115,80,0,[]
230,Num830Line112Vers4,89,102,0,[]
231,Num1366Line151Vers1,66,129,0,[]
232,Num1326Line146Vers12,38,157,0,[]
233,Num354Line38Vers3,115,80,0,[]
234,Num9Line7Vers9,0,6,0,[]
235,Num110Line13Vers28,115,80,0,[]
236,Num355Line39Vers1,115,80,0,[]
237,Num671Line88Vers1,115,80,0,[]
238,Num368Line41Vers12,115,80,0,[]
239,Num241Line19Vers1,115,80,0,[]
240,Num1390Line153Vers1,115,80,0,[]
241,Num184Line15Vers28,115,80,0,[]
242,Num412Line42Vers15,28,167,0,[]
243,Num273Line20Vers24,115,80,0,[]
244,Num758Line101Vers34,104,84,0,[]
245,Num675Line88Vers5,115,80,0,[]
246,Num1112Line120Vers1,115,80,0,[]
247,Num1225Line139Vers10,0,45,0,[]
248,Num1238Line139Vers23,0,45,0,[]
249,Num297Line21Vers2,115,80,0,[]
250,Num761Line101Vers37,114,81,0,[]
251,Num799Line103Vers9,115,80,0,[]
252,Num156Line14Vers37,115,80,0,[]
253,Num120Line14Vers1,115,80,0,[]
254,Num739Line101Vers15,114,81,0,[]
255,Num783Line101Vers59,106,88,0,[]
256,Num532Line82Vers15,117,78,0,[]
257,Num399Line42Vers2,28,167,0,[]
258,Num38Line9Vers12,116,79,0,[]
259,Num26Line8Vers13,115,80,0,[]
260,Num738Line101Vers14,105,88,0,[]
261,Num288Line20Vers39,115,80,0,[]
262,Num356Line40Vers1,115,80,0,[]
263,Num525Line82Vers8,117,78,0,[]
264,Num252Line20Vers3,115,80,0,[]
265,Num515Line74Vers4,0,6,0,[]
266,Num249Line19Vers9,115,80,0,[]
267,Num475Line63Vers11,115,80,0,[]
268,Num1231Line139Vers16,115,80,0,[]
269,Num1308Line144Vers7,115,80,0,[]
