,file_name,cnt_no_v_scaled,cnt_v_scaled,otro_scaled,status_scaled,cnt_no_v_g,cnt_v_g,otro_g,status_g,cnt_no_v_l,cnt_v_l,otro_l,status_l,cnt_no_v_e,cnt_v_e,otro_e,status_e
112,Num439Line51Vers3,195,0,0,[],0,195,0,[],0,195,0,[],195,0,0,[]
113,Num142Line14Vers23,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
114,Num464Line62Vers1,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
115,Num414Line42Vers17,193,2,0,[],195,0,0,[],0,195,0,[],0,195,0,[]
116,Num64Line11Vers18,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
117,Num762Line101Vers38,104,91,0,[],190,5,0,[],0,195,0,[],0,195,0,[]
118,Num286Line20Vers37,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
119,Num271Line20Vers22,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
120,Num435Line43Vers21,195,0,0,[],0,195,0,[],0,195,0,[],195,0,0,[]
121,Num1337Line146Vers23,0,195,0,[],166,29,0,[],0,195,0,[],0,195,0,[]
122,Num406Line42Vers9,192,3,0,[],191,4,0,[],0,195,0,[],0,195,0,[]
123,Num264Line20Vers15,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
124,Num1357Line150Vers5,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
125,Num194Line15Vers38,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
126,Num1141Line122Vers23,195,0,0,[],0,195,0,[],0,195,0,[],195,0,0,[]
127,Num1369Line151Vers4,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
128,Num1229Line139Vers14,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
129,Num1353Line150Vers1,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
130,Num219Line16Vers25,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
131,Num214Line16Vers20,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
132,Num530Line82Vers13,195,0,0,[],195,0,0,[],0,195,0,[],0,195,0,[]
133,Num528Line82Vers11,195,0,0,[],195,0,0,[],0,195,0,[],0,195,0,[]
134,Num744Line101Vers20,110,85,0,[],192,3,0,[],0,195,0,[],0,195,0,[]
135,Num126Line14Vers7,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
136,Num294Line20Vers45,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
137,Num1242Line139Vers27,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
138,Num463Line61Vers12,195,0,0,[],193,2,0,[],0,195,0,[],0,195,0,[]
139,Num1234Line139Vers19,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
140,Num476Line63Vers12,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
141,Num822Line104Vers23,195,0,0,[],195,0,0,[],0,195,0,[],0,195,0,[]
142,Num594Line85Vers16,195,0,0,[],193,2,0,[],0,195,0,[],0,195,0,[]
143,Num1345Line149Vers4,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
144,Num290Line20Vers41,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
145,Num1301Line143Vers3,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
146,Num670Line87Vers17,195,0,0,[],0,195,0,[],0,195,0,[],195,0,0,[]
147,Num751Line101Vers27,157,38,0,[],191,4,0,[],0,195,0,[],0,195,0,[]
