,mutant_id,HMR1_v,HMR1_nv,HMR1_cr,HMR2_v,HMR2_nv,HMR2_cr,HMR3_v,HMR3_nv,HMR3_cr,mutant_status
126,Num1141Line122Vers23,115,0,0,115,0,0,2,0,0,killed
127,Num1369Line151Vers4,0,115,0,0,115,0,55,60,0,killed
128,Num1229Line139Vers14,0,115,0,0,115,0,0,115,0,eqv/surv
129,Num1353Line150Vers1,0,115,0,0,115,0,110,5,0,killed
130,Num219Line16Vers25,0,115,0,0,115,0,0,115,0,eqv/surv
131,Num214Line16Vers20,0,115,0,0,115,0,0,115,0,eqv/surv
132,Num530Line82Vers13,0,115,0,0,115,0,11,104,0,killed
133,Num528Line82Vers11,0,115,0,0,115,0,11,104,0,killed
134,Num744Line101Vers20,73,40,0,0,115,0,37,72,0,killed
135,Num126Line14Vers7,0,115,0,0,115,0,0,115,0,eqv/surv
136,Num294Line20Vers45,0,115,0,0,115,0,0,115,0,eqv/surv
137,Num1242Line139Vers27,0,115,0,0,115,0,0,115,0,eqv/surv
138,Num463Line61Vers12,113,2,0,0,115,0,77,38,0,killed
139,Num1234Line139Vers19,0,115,0,0,115,0,0,115,0,eqv/surv
140,Num476Line63Vers12,0,115,0,0,115,0,0,115,0,eqv/surv
141,Num822Line104Vers23,0,115,0,0,115,0,17,98,0,killed
142,Num594Line85Vers16,115,0,0,0,115,0,30,84,0,killed
143,Num1345Line149Vers4,0,115,0,0,115,0,113,2,0,killed
144,Num290Line20Vers41,0,115,0,0,115,0,0,115,0,eqv/surv
145,Num1301Line143Vers3,0,115,0,0,115,0,0,115,0,eqv/surv
146,Num670Line87Vers17,115,0,0,115,0,0,2,0,0,killed
147,Num751Line101Vers27,3,112,0,0,115,0,26,87,0,killed
148,Num857Line112Vers31,0,115,0,0,115,0,11,104,0,killed
149,Num48Line11Vers2,0,115,0,0,115,0,0,115,0,eqv/surv
150,Num269Line20Vers20,0,115,0,0,115,0,0,115,0,eqv/surv
151,Num1323Line146Vers9,115,0,0,0,115,0,79,36,0,killed
152,Num25Line8Vers12,0,115,0,0,115,0,0,115,0,eqv/surv
153,Num1130Line122Vers12,0,115,0,0,115,0,0,115,0,eqv/surv
154,Num251Line20Vers2,0,115,0,0,115,0,0,115,0,eqv/surv
155,Num526Line82Vers9,0,115,0,0,115,0,11,104,0,killed
156,Num338Line34Vers10,0,115,0,0,115,0,2,113,0,killed
157,Num367Line41Vers11,0,115,0,0,115,0,0,115,0,eqv/surv
158,Num86Line13Vers4,0,115,0,0,115,0,0,115,0,eqv/surv
159,Num13Line7Vers13,0,115,0,0,115,0,0,115,0,eqv/surv
160,Num408Line42Vers11,84,31,0,0,115,0,92,23,0,killed
161,Num350Line37Vers8,0,115,0,0,115,0,0,115,0,eqv/surv
162,Num1200Line137Vers9,115,0,0,1,114,0,20,0,0,killed
163,Num529Line82Vers12,0,115,0,0,115,0,11,104,0,killed
164,Num295Line20Vers46,0,115,0,0,115,0,0,115,0,eqv/surv
165,Num1228Line139Vers13,115,0,0,1,114,0,20,0,0,killed
166,Num189Line15Vers33,0,115,0,0,115,0,0,115,0,eqv/surv
167,Num462Line61Vers11,115,0,0,0,115,0,81,34,0,killed
168,Num856Line112Vers30,0,115,0,0,115,0,14,101,0,killed
169,Num291Line20Vers42,0,115,0,0,115,0,0,115,0,eqv/surv
170,Num808Line104Vers9,0,115,0,0,115,0,36,79,0,killed
171,Num895Line113Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
172,Num70Line11Vers24,0,115,0,0,115,0,0,115,0,eqv/surv
173,Num824Line104Vers25,0,115,0,0,115,0,17,98,0,killed
174,Num1167Line134Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
175,Num1235Line139Vers20,0,115,0,0,115,0,0,115,0,eqv/surv
176,Num231Line16Vers37,0,115,0,0,115,0,0,115,0,eqv/surv
177,Num340Line34Vers12,0,115,0,0,115,0,0,115,0,eqv/surv
178,Num1188Line136Vers10,115,0,0,1,114,0,20,0,0,killed
179,Num430Line43Vers16,114,1,0,114,1,0,2,1,0,killed
180,Num1362Line150Vers10,0,115,0,0,115,0,115,0,0,killed
181,Num428Line43Vers14,0,115,0,0,115,0,0,115,0,eqv/surv
182,Num102Line13Vers20,0,115,0,0,115,0,0,115,0,eqv/surv
183,Num425Line43Vers11,115,0,0,115,0,0,2,0,0,killed
184,Num224Line16Vers30,0,115,0,0,115,0,0,115,0,eqv/surv
185,Num229Line16Vers35,0,115,0,0,115,0,0,115,0,eqv/surv
186,Num183Line15Vers27,0,115,0,0,115,0,0,115,0,eqv/surv
187,Num274Line20Vers25,0,115,0,0,115,0,0,115,0,eqv/surv
188,Num37Line9Vers11,0,115,0,0,115,0,0,115,0,killed
189,Num1246Line140Vers4,115,0,0,1,114,0,20,0,0,killed
190,Num106Line13Vers24,0,115,0,0,115,0,0,115,0,eqv/surv
191,Num1139Line122Vers21,115,0,0,115,0,0,2,0,0,killed
192,Num24Line8Vers11,115,0,0,115,0,0,2,0,0,killed
193,Num250Line20Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
194,Num223Line16Vers29,0,115,0,0,115,0,0,115,0,eqv/surv
195,Num177Line15Vers21,0,115,0,0,115,0,0,115,0,eqv/surv
196,Num1374Line151Vers9,0,115,0,0,115,0,68,47,0,killed
197,Num327Line33Vers6,115,0,0,115,0,0,2,0,0,killed
198,Num204Line16Vers10,0,115,0,0,115,0,0,115,0,eqv/surv
199,Num270Line20Vers21,0,115,0,0,115,0,0,115,0,eqv/surv
200,Num299Line21Vers4,0,115,0,0,115,0,0,115,0,eqv/surv
201,Num1336Line146Vers22,115,0,0,0,115,0,66,49,0,killed
202,Num763Line101Vers39,39,76,0,0,115,0,38,75,0,killed
203,Num289Line20Vers40,0,115,0,0,115,0,0,115,0,eqv/surv
204,Num1232Line139Vers17,0,115,0,0,115,0,0,115,0,eqv/surv
205,Num669Line87Vers16,0,110,0,0,106,0,1,25,0,killed
206,Num1341Line148Vers1,115,0,0,12,103,0,67,48,0,killed
207,Num265Line20Vers16,0,115,0,0,115,0,0,115,0,eqv/surv
208,Num718Line92Vers8,0,115,0,0,115,0,0,115,0,killed
209,Num823Line104Vers24,0,115,0,0,115,0,17,98,0,killed
210,Num114Line13Vers32,0,115,0,0,115,0,0,115,0,eqv/surv
211,Num680Line88Vers10,0,115,0,0,115,0,0,115,0,eqv/surv
212,Num119Line13Vers37,0,115,0,0,115,0,0,115,0,eqv/surv
213,Num781Line101Vers57,86,29,0,0,115,0,31,83,0,killed
214,Num706Line90Vers23,115,0,0,0,115,0,31,83,0,killed
215,Num277Line20Vers28,0,115,0,0,115,0,0,115,0,eqv/surv
216,Num1080Line118Vers12,104,11,0,0,115,0,74,32,0,killed
217,Num1142Line122Vers24,0,115,0,0,115,0,5,110,0,killed
218,Num818Line104Vers19,0,115,0,0,115,0,36,79,0,killed
219,Num279Line20Vers30,0,115,0,0,115,0,0,115,0,eqv/surv
220,Num180Line15Vers24,0,115,0,0,115,0,0,115,0,eqv/surv
221,Num227Line16Vers33,0,115,0,0,115,0,0,115,0,eqv/surv
222,Num503Line72Vers5,3,112,0,0,115,0,68,47,0,killed
223,Num423Line43Vers9,0,115,0,0,115,0,0,115,0,eqv/surv
224,Num426Line43Vers12,0,115,0,0,115,0,0,115,0,eqv/surv
225,Num752Line101Vers28,3,112,0,0,115,0,4,111,0,killed
226,Num1314Line145Vers1,115,0,0,115,0,0,4,111,0,killed
227,Num89Line13Vers7,0,115,0,0,115,0,0,115,0,eqv/surv
228,Num1129Line122Vers11,0,115,0,0,115,0,0,115,0,eqv/surv
229,Num1241Line139Vers26,115,0,0,1,114,0,20,0,0,killed
230,Num199Line16Vers5,0,115,0,0,115,0,0,115,0,killed
231,Num784Line101Vers60,87,28,0,0,115,0,24,91,0,killed
232,Num11Line7Vers11,0,115,0,0,115,0,0,115,0,eqv/surv
233,Num830Line112Vers4,7,107,0,0,115,0,53,60,0,killed
234,Num1366Line151Vers1,0,115,0,0,115,0,55,60,0,killed
235,Num1326Line146Vers12,115,0,0,0,115,0,86,29,0,killed
236,Num354Line38Vers3,0,115,0,0,115,0,0,115,0,eqv/surv
237,Num9Line7Vers9,115,0,0,115,0,0,2,0,0,killed
238,Num110Line13Vers28,0,115,0,0,115,0,0,115,0,eqv/surv
239,Num355Line39Vers1,0,115,0,0,115,0,0,115,0,killed
240,Num671Line88Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
241,Num368Line41Vers12,0,115,0,0,115,0,0,115,0,eqv/surv
242,Num241Line19Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
243,Num1390Line153Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
244,Num184Line15Vers28,0,115,0,0,115,0,0,115,0,eqv/surv
245,Num412Line42Vers15,84,31,0,0,115,0,92,23,0,killed
246,Num273Line20Vers24,0,115,0,0,115,0,0,115,0,eqv/surv
247,Num758Line101Vers34,72,43,0,0,114,0,45,66,0,killed
248,Num675Line88Vers5,0,115,0,0,115,0,0,115,0,eqv/surv
249,Num1112Line120Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
250,Num1225Line139Vers10,115,0,0,1,114,0,20,0,0,killed
251,Num1238Line139Vers23,115,0,0,1,114,0,20,0,0,killed
252,Num297Line21Vers2,0,115,0,0,115,0,0,115,0,eqv/surv
253,Num761Line101Vers37,65,50,0,0,115,0,37,78,0,killed
254,Num799Line103Vers9,0,115,0,0,115,0,0,115,0,killed
255,Num156Line14Vers37,0,115,0,0,115,0,0,115,0,eqv/surv
256,Num120Line14Vers1,0,115,0,0,115,0,0,115,0,killed
257,Num739Line101Vers15,90,25,0,0,115,0,36,79,0,killed
258,Num783Line101Vers59,78,37,0,0,115,0,39,75,0,killed
259,Num532Line82Vers15,0,115,0,0,115,0,11,104,0,killed
260,Num399Line42Vers2,84,31,0,0,115,0,92,23,0,killed
261,Num38Line9Vers12,0,115,0,0,115,0,1,114,0,killed
262,Num26Line8Vers13,0,115,0,0,115,0,0,115,0,eqv/surv
263,Num738Line101Vers14,66,49,0,0,115,0,37,76,0,killed
264,Num288Line20Vers39,0,115,0,0,115,0,0,115,0,eqv/surv
265,Num356Line40Vers1,0,115,0,0,115,0,0,115,0,killed
266,Num525Line82Vers8,0,115,0,0,115,0,11,104,0,killed
267,Num252Line20Vers3,0,115,0,0,115,0,0,115,0,eqv/surv
268,Num515Line74Vers4,115,0,0,115,0,0,2,0,0,killed
269,Num249Line19Vers9,0,115,0,0,115,0,0,115,0,eqv/surv
270,Num475Line63Vers11,0,115,0,0,115,0,0,115,0,eqv/surv
271,Num1231Line139Vers16,0,115,0,0,115,0,0,115,0,eqv/surv
272,Num1308Line144Vers7,0,115,0,0,115,0,0,115,0,eqv/surv
273,Num203Line16Vers9,0,115,0,0,115,0,0,115,0,eqv/surv
274,Num658Line87Vers5,0,110,0,0,106,0,1,25,0,killed
275,Num178Line15Vers22,0,115,0,0,115,0,0,115,0,eqv/surv
276,Num104Line13Vers22,0,115,0,0,115,0,0,115,0,eqv/surv
277,Num790Line102Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
278,Num90Line13Vers8,0,115,0,0,115,0,0,115,0,eqv/surv
279,Num148Line14Vers29,0,115,0,0,115,0,0,115,0,eqv/surv
280,Num760Line101Vers36,62,53,0,0,115,0,32,82,0,killed
281,Num109Line13Vers27,0,115,0,0,115,0,0,115,0,eqv/surv
282,Num509Line72Vers11,113,0,0,0,115,0,83,32,0,killed
283,Num193Line15Vers37,0,115,0,0,115,0,0,115,0,eqv/surv
284,Num112Line13Vers30,0,115,0,0,115,0,0,115,0,eqv/surv
285,Num304Line22Vers3,0,115,0,0,115,0,0,115,0,eqv/surv
286,Num342Line36Vers1,115,0,0,115,0,0,2,0,0,killed
287,Num1296Line141Vers8,0,115,0,0,115,0,0,115,0,eqv/surv
288,Num213Line16Vers19,0,115,0,0,115,0,0,115,0,eqv/surv
289,Num609Line85Vers31,0,115,0,0,115,0,0,115,0,eqv/surv
290,Num263Line20Vers14,0,115,0,0,115,0,0,115,0,eqv/surv
291,Num116Line13Vers34,0,115,0,0,115,0,0,115,0,eqv/surv
292,Num128Line14Vers9,0,115,0,0,115,0,0,115,0,eqv/surv
293,Num811Line104Vers12,0,115,0,0,115,0,0,115,0,eqv/surv
294,Num405Line42Vers8,0,115,0,0,114,0,27,74,0,killed
295,Num175Line15Vers19,0,115,0,0,115,0,0,115,0,eqv/surv
296,Num398Line42Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
297,Num160Line15Vers4,0,115,0,0,115,0,0,115,0,eqv/surv
298,Num337Line34Vers9,115,0,0,115,0,0,2,0,0,killed
299,Num1239Line139Vers24,115,0,0,1,114,0,20,0,0,killed
300,Num1236Line139Vers21,0,115,0,0,115,0,0,115,0,eqv/surv
301,Num121Line14Vers2,0,115,0,0,115,0,0,115,0,killed
302,Num195Line16Vers1,0,115,0,0,115,0,0,115,0,killed
303,Num53Line11Vers7,0,115,0,0,115,0,0,115,0,eqv/surv
304,Num293Line20Vers44,0,115,0,0,115,0,0,115,0,eqv/surv
305,Num100Line13Vers18,0,115,0,0,115,0,0,115,0,eqv/surv
306,Num221Line16Vers27,0,115,0,0,115,0,0,115,0,eqv/surv
307,Num1381Line152Vers5,0,115,0,0,115,0,112,3,0,killed
308,Num1305Line144Vers4,0,115,0,0,115,0,0,115,0,eqv/surv
309,Num1327Line146Vers13,115,0,0,0,115,0,38,77,0,killed
310,Num378Line41Vers22,0,115,0,0,115,0,0,115,0,eqv/surv
311,Num296Line21Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
312,Num138Line14Vers19,0,115,0,0,115,0,0,115,0,eqv/surv
313,Num186Line15Vers30,0,115,0,0,115,0,0,115,0,eqv/surv
314,Num341Line35Vers1,115,0,0,115,0,0,2,0,0,killed
315,Num217Line16Vers23,0,115,0,0,115,0,0,115,0,eqv/surv
316,Num401Line42Vers4,0,115,0,0,115,0,0,115,0,eqv/surv
317,Num267Line20Vers18,0,115,0,0,115,0,0,115,0,eqv/surv
318,Num164Line15Vers8,0,115,0,0,115,0,0,115,0,eqv/surv
319,Num568Line84Vers16,112,0,0,0,115,0,22,83,0,killed
320,Num1367Line151Vers2,0,115,0,0,115,0,55,60,0,killed
321,Num1116Line121Vers4,0,115,0,0,115,0,0,115,0,eqv/surv
322,Num418Line43Vers4,0,115,0,0,115,0,0,115,0,eqv/surv
323,Num819Line104Vers20,0,115,0,0,115,0,17,98,0,killed
324,Num43Line10Vers4,0,115,0,0,115,0,0,115,0,killed
325,Num1292Line141Vers4,0,115,0,0,115,0,0,115,0,eqv/surv
326,Num1298Line142Vers1,115,0,0,1,114,0,20,0,0,killed
