name_id,folder_path,mutant_num,mutated_line,mutant_vers,mutant_code_from_mutated_line,did_it_crash,num_not_crashes,last_data_modification_date,last_data_modification_time,last_status_change_date,last_status_change_time,last_access_date,last_access_time,last_inode_date,last_inode_time,duration
Num1322Line146Vers8,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1322Line146Vers8,1322,146,8,"yintTemp = single(rA1Temp + rB-1Temp.*xintTemp); % constant replaced: 1 -> -1
",True,0,2024-02-17,2024-02-19 14:38:23,2024-02-16,2024-02-19 14:37:24,2024-02-16,2024-02-19 14:37:24,2024-02-16,2024-02-19 14:37:09,0 days 00:01:14
Num33Line9Vers7,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num33Line9Vers7,33,9,7,"ivar = uint35.2(11); % constant replaced: 32 -> 35.2
",True,0,2024-02-17,2024-02-19 14:38:29,2024-02-16,2024-02-19 14:43:12,2024-02-16,2024-02-19 14:43:12,2024-02-16,2024-02-19 14:42:53,0 days 00:04:43
Num531Line82Vers14,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num531Line82Vers14,531,82,14,"        xinttemp = linspace(xdatsortLoc(ii),xdatsortLoc(ii.\1),ivar); % operator replaced: '+' -> '.\'
",True,0,2024-02-17,2024-02-19 14:38:34,2024-02-16,2024-02-19 14:43:41,2024-02-16,2024-02-19 14:43:41,2024-02-16,2024-02-19 14:43:17,0 days 00:05:07
Num242Line19Vers2,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num242Line19Vers2,242,19,2,"    Rind = uint0(0); % constant replaced: 32 -> 0
",True,0,2024-02-17,2024-02-19 14:38:27,2024-02-16,2024-02-19 14:44:03,2024-02-16,2024-02-19 14:44:03,2024-02-16,2024-02-19 14:43:45,0 days 00:05:36
Num77Line11Vers31,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num77Line11Vers31,77,11,31,"persistent ErrR a1Mat b1Mat a2Mat b2Mat idMat MatA xhatact xdatsortLoc ydatsortLoc sortindexLoc Rind R1 R1 % constant replaced: 2 -> 1
",True,0,2024-02-17,2024-02-19 14:38:39,2024-02-16,2024-02-19 14:46:56,2024-02-16,2024-02-19 14:46:56,2024-02-16,2024-02-19 14:46:41,0 days 00:08:17
Num28Line9Vers2,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num28Line9Vers2,28,9,2,"ivar = uint0(11); % constant replaced: 32 -> 0
",True,0,2024-02-17,2024-02-19 14:38:28,2024-02-16,2024-02-19 15:22:47,2024-02-16,2024-02-19 15:22:47,2024-02-16,2024-02-19 15:22:20,0 days 00:44:19
Num1360Line150Vers8,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1360Line150Vers8,1360,150,8,"IQPostPrTimeEstDebugPBuffered.rA2 = rA0Temp; % constant replaced: 2 -> 0
",True,0,2024-02-17,2024-02-19 14:38:24,2024-02-16,2024-02-19 15:23:19,2024-02-16,2024-02-19 15:23:19,2024-02-16,2024-02-19 15:22:52,0 days 00:44:55
Num701Line90Vers18,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num701Line90Vers18,701,90,18,"            xhatact = single((transpose(MatA)*double(idMat)*MatA)\(transpose(MatA)*double(idMat)-transpose(double(ydatsortLoc)))); % operator replaced: '*' -> '-'
",True,0,2024-02-17,2024-02-19 14:38:37,2024-02-16,2024-02-19 15:23:40,2024-02-16,2024-02-19 15:23:40,2024-02-16,2024-02-19 15:23:23,0 days 00:45:03
Num477Line63Vers13,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num477Line63Vers13,477,63,13,"    for mm = uint32((ii+1)):uint0(iNumOfCalcTemp) % constant replaced: 32 -> 0
",True,0,2024-02-17,2024-02-19 14:38:33,2024-02-16,2024-02-19 15:24:09,2024-02-16,2024-02-19 15:24:09,2024-02-16,2024-02-19 15:23:43,0 days 00:45:36
Num1085Line118Vers17,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1085Line118Vers17,1085,118,17,"        a2Mat((ii-2)*ivar + jj) = xhatact(5); % constant replaced: 4 -> 5
",True,0,2024-02-17,2024-02-19 14:38:18,2024-02-16,2024-02-19 16:03:14,2024-02-16,2024-02-19 16:03:14,2024-02-16,2024-02-19 16:02:43,0 days 01:24:56
Num1020Line116Vers35,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1020Line116Vers35,1020,116,35,"        a1Mat((ii-2)*ivar ./ jj) = xhatact(2); % operator replaced: '+' -> './'
",True,0,2024-02-17,2024-02-19 14:38:17,2024-02-16,2024-02-19 16:29:12,2024-02-16,2024-02-19 16:29:12,2024-02-16,2024-02-19 16:28:35,0 days 01:50:55
Num966Line115Vers21,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num966Line115Vers21,966,115,21,"        b1Mat((ii-2)*ivar \ jj) = xhatact(1); % operator replaced: '+' -> '\'
",True,0,2024-02-17,2024-02-19 14:38:43,2024-02-16,2024-02-19 16:35:16,2024-02-16,2024-02-19 16:35:16,2024-02-16,2024-02-19 16:34:56,0 days 01:56:33
Num543Line83Vers11,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num543Line83Vers11,543,83,11,"        MatA(iNumOfCalcTemp + 1,1.1) = double(xinttemp(jj)); % constant replaced: 1 -> 1.1
",True,0,2024-02-17,2024-02-19 14:38:34,2024-02-16,2024-02-19 16:48:46,2024-02-16,2024-02-19 16:48:46,2024-02-16,2024-02-19 16:48:21,0 days 02:10:12
Num14Line8Vers1,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num14Line8Vers1,14,8,1,"% statement deleted: iVecAlloc = uint32(4);
",True,0,2024-02-17,2024-02-19 14:38:25,2024-02-16,2024-02-19 17:04:16,2024-02-16,2024-02-19 17:04:16,2024-02-16,2024-02-19 17:03:52,0 days 02:25:51
Num711Line92Vers1,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num711Line92Vers1,711,92,1,"% statement deleted:         R1 = single(0);
",True,0,2024-02-17,2024-02-19 14:38:37,2024-02-16,2024-02-19 17:21:16,2024-02-16,2024-02-19 17:21:16,2024-02-16,2024-02-19 17:20:54,0 days 02:42:39
Num904Line114Vers9,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num904Line114Vers9,904,114,9,"        ErrR((ii-2)*ivar + jj) = R-1 + R2; % constant replaced: 1 -> -1
",True,0,2024-02-17,2024-02-19 14:38:42,2024-02-16,2024-02-19 17:21:40,2024-02-16,2024-02-19 17:21:40,2024-02-16,2024-02-19 17:21:20,0 days 02:42:58
